height,length,depth
1500,60,5
1750,60,5
2000,60,5
2250,80,10
2500,80,10
2750,80,10
3000,80,10
3500,80,10
4000,80,10
4500,80,10
5000,80,10
5500,100,20
6000,100,20
6500,100,20
7000,100,20
